experiment,n,k,method1_time,method2_time
vary_k,500,2,0.000006,0.000006
vary_k,500,4,0.000021,0.000022
vary_k,500,8,0.000057,0.000063
vary_k,500,16,0.000137,0.000169
vary_k,500,32,0.000364,0.000392
vary_k,500,64,0.001318,0.000955
vary_k,500,128,0.005862,0.002305
vary_k,500,256,0.024428,0.005456
vary_k,500,512,0.092351,0.011869
vary_n,500,16,0.000145,0.000149
vary_n,1000,16,0.000230,0.000315
vary_n,2000,16,0.000529,0.000601
vary_n,4000,16,0.000943,0.001286
vary_n,8000,16,0.002078,0.002660
vary_n,16000,16,0.004685,0.005461
vary_n,32000,16,0.011976,0.011960
vary_n,64000,16,0.024596,0.024561
